ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
B1_0_0	1208	1	1209	B1_0	4297	+	1.3.99.1	Bacteroidetes (976)	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)
B1_0_1	773	1218	1991	B1_0	4297	+	1.3.99.1	Bacteroidetes (976)	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)
B1_0_2	290	2202	2492	B1_0	4297	+		root (1)	hypothetical protein
B1_0_3	581	2704	3285	B1_0	4297	+		Chlorobaculum tepidum (1097)	RNA polymerase sigma-70 factor, ECF subfamily
B1_0_4	752	3446	4198	B1_0	4297	+		Chlorobaculum tepidum (1097)	FIG00498554:
B1_1_0	464	89	553	B1_1	6266	-		Bacteroidetes/Chlorobi group (68336)	MULTISPECIES:
B1_1_1	1250	546	1796	B1_1	6266	-	2.1.1.113	Bacteroidetes (976)	Modification methylase MjaI (EC 2.1.1.113) (N-4 cytosine-specific methyltransferase MjaI) (M.MjaI)
B1_1_2	773	2014	2787	B1_1	6266	-		Bacteroidetes (976)	Possible restriction endonuclease
B1_1_3	1028	3174	4202	B1_1	6266	-		Chlorobium (1091)	hypothetical protein
B1_1_4	638	4413	5051	B1_1	6266	-		Chlorobium (1091)	hypothetical protein
B1_1_5	332	5006	5338	B1_1	6266	-		root (1)	hypothetical protein
B1_1_6	416	5322	5738	B1_1	6266	-		Bacteria (2)	FIG01158363:
